state,nuclear,coal,natural_gaz,oil,hydro,geothermic,solar,wind,biomass_other,source_fossil,source_renewable,source_nuclear
Alabama,31.4,19.2,38.7,0,7.8,0,0.3,0,2.5,57.9,10.6,31.4
Alaska,0,10.6,49.9,14.4,22,0,0,2.4,0.6,74.9,25,0
Arizona,28.1,20.4,40.9,0.1,5.4,0,4.5,0.5,0.2,61.4,10.6,28.1
Arkansas,22,37.9,33,0.1,4.5,0,0.3,0,2.2,71,7,22
California,7.9,0.1,42.4,0,19.5,5.6,14,7.3,3.2,42.5,49.6,7.9
Colorado,0,45.1,30.4,0,2.5,0,2.1,19.4,0.4,75.5,24.4,0
Connecticut,41.7,0.1,52.8,0.2,1.3,0,0.4,0,3.3,53.1,5,41.7
Delaware,0,2.3,94.7,0.8,0,0,1,0.1,1,97.8,2.1,0
District of Columbia,0,0,27.1,0,0,0,15.1,0,57.8,27.1,72.9,0
Florida,11.8,9.1,74.3,0.1,0.1,0,1.6,0,3.1,83.5,4.8,11.8
Georgia,26.3,19.9,45.7,0.1,2.3,0,1.6,0,4.1,65.7,8,26.3
Hawaii,0,13.2,0.1,69.3,0.7,1.1,2.7,6,6.9,82.6,17.4,0
Idaho,0,0.1,21.1,0,55.4,0.4,3.3,16.2,3.4,21.2,78.7,0
Illinois,54.4,26.9,10.6,0,0.1,0,0,7.6,0.4,37.5,8.1,54.4
Indiana,0,56.7,35.9,0.1,0.2,0,0.3,6,0.7,92.7,7.2,0
Iowa,8.3,35.2,12.9,0.1,1.2,0,0,42,0.3,48.2,43.5,8.3
Kansas,17.8,33.4,7,0.1,0,0,0,41.4,0.1,40.5,41.5,17.8
Kentucky,0,72.7,20.8,0.1,5.6,0,0.1,0,0.7,93.6,6.4,0
Louisiana,13.8,10.4,72,0,1.1,0,0,0,2.6,82.4,3.7,13.8
Maine,0,0.8,15.9,0.3,30.8,0,0.1,23.8,28.3,17,83,0
Maryland,37.8,14.4,37.4,0.2,5.6,0,1.3,1.5,1.8,52,10.2,37.8
Massachusetts,9.8,0,71.6,0.6,2.9,0,5.3,1,8.8,72.2,18,9.8
Michigan,28.2,32.7,31.1,0.1,0.5,0,0.1,5,2.2,63.9,7.8,28.2
Minnesota,24.4,31.5,17.9,0.1,1.5,0.1,2.6,19.1,2.9,49.5,26.2,24.4
Mississippi,16.5,6.6,74.3,0,0,0,0.5,0,2.1,80.9,2.6,16.5
Missouri,12,72.8,9.6,0.1,1.4,0,0.1,3.8,0.1,82.5,5.4,12
Montana,0,53.9,2,0.1,34.7,0.6,0.1,8.6,0.1,56,44.1,0
Nebraska,18.7,54.7,3.3,0.1,3.1,0,0.1,19.9,0.2,58.1,23.3,18.7
Nevada,0,6.9,64.8,0,5.6,9.5,12.2,0.8,0.2,71.7,28.3,0
New Hampshire,60.8,1.9,20,0.2,6.9,0,0,2.3,8.1,22.1,17.3,60.8
New Jersey,37.4,1.6,57.3,0.1,-0.1,0,1.7,0,2,59,3.6,37.4
New Mexico,0,41.8,34.1,0.1,0.4,0.2,3.9,19.5,0,76,24,0
New York,33.9,0.3,37.3,0.4,22.1,0,0.5,3.3,2.2,38,28.1,33.9
North Carolina,31.8,23.3,31.7,0.2,4.7,0,5.5,0.4,2.3,55.2,12.9,31.8
North Dakota,0,61.9,3.2,0.1,6.9,0.3,0,27.5,0.1,65.2,34.8,0
Ohio,14.2,39.8,43.2,0.1,0.2,0,0.1,1.7,0.6,83.1,2.6,14.2
Oklahoma,0,9.4,53.5,0,2.1,0,0.1,34.6,0.4,62.9,37.2,0
Oregon,0,4.1,33.9,0,47.4,0.2,1.1,11.5,1.8,38,62,0
Pennsylvania,36,16.8,42.8,0.1,1.5,0,0,1.5,1.3,59.7,4.3,36
Rhode Island,0,0,93.2,0.2,0,0,0.9,2.9,2.7,93.4,6.5,0
South Carolina,55.8,14.8,24.1,0.1,1.9,0,0.8,0,2.4,39,5.1,55.8
South Dakota,0,20.7,10.7,0.1,44.6,0,0,23.9,0,31.5,68.5,0
Tennessee,43.7,22.9,20.3,0.2,11.3,0,0.4,0,1.1,43.4,12.8,43.7
Texas,8.6,19.1,53.4,0,0.2,0,0.9,17.5,0.4,72.5,19,8.6
Utah,0,64.4,24.1,0.1,2,1.1,5.5,2.1,0.7,88.6,11.4,0
Vermont,0,0,0.1,0.1,54.9,0,8,17.6,19.4,0.2,99.9,0
Virginia,30.3,3.6,60.1,0.3,0.5,0,0.9,0,4.5,64,5.9,30.3
Washington,8.4,6.8,13.3,0,62.6,0,0,7.3,1.6,20.1,71.5,8.4
West Virginia,0,91,3.4,0.2,2.8,0,0,2.7,0,94.6,5.5,0
Wisconsin,16,42.1,33.7,0.1,3.2,0,0.1,2.6,2.2,75.9,8.1,16
Wyoming,0,84.3,3.2,0.1,2,0,0.4,9.8,0.2,87.6,12.4,0
